run,sen,spe,fn,fp,acc
repeat 0,0.6111111111111112,0.92,0.3888888888888889,0.08,0.7906976744186046
repeat 1,0.5333333333333333,0.9285714285714286,0.4666666666666667,0.07142857142857142,0.7906976744186046
repeat 2,0.5,0.9565217391304348,0.5,0.043478260869565216,0.7441860465116279
repeat 3,0.38095238095238093,1.0,0.6190476190476191,0.0,0.6976744186046512
repeat 4,0.047619047619047616,1.0,0.9523809523809523,0.0,0.5348837209302325
repeat 5,0.17647058823529413,0.9615384615384616,0.8235294117647058,0.038461538461538464,0.6511627906976745
repeat 6,0.5,0.96,0.5,0.04,0.7674418604651163
repeat 7,0.5294117647058824,0.9615384615384616,0.47058823529411764,0.038461538461538464,0.7906976744186046
repeat 8,0.35,1.0,0.65,0.0,0.6976744186046512
repeat 9,0.5263157894736842,1.0,0.47368421052631576,0.0,0.7906976744186046
mean,0.4155214015430734,0.9688170090778787,0.5844785984569267,0.031182990922121356,0.7255813953488371
std,0.16226806350899425,0.027348243483123476,0.16226806350899425,0.02734824348312349,0.0753900651961631
